stature,weightkg,chestbreadth
1630,620,247
1615,695,286
1584,620,274
1664,669,265
1545,543,249
1688,648,239
1673,625,251
1647,643,253
1637,736,288
1787,824,301
1503,701,280
1562,699,280
1558,754,278
1576,647,281
1628,666,275
1748,831,293
1572,632,272
1743,746,287
1561,589,251
1623,643,275
1649,705,255
1661,760,287
1668,680,278
1722,695,289
1674,868,298
1663,653,275
1543,804,270
1561,673,263
1587,516,245
1495,526,269
1645,914,304
1653,919,293
1685,757,300
1569,717,309
1656,738,281
1672,769,280
1622,692,302
1664,609,278
1636,596,264
1666,740,268
1558,804,290
1674,934,293
1534,568,275
1630,626,234
1671,738,284
1789,808,292
1553,624,257
1673,775,275
1598,631,283
1798,875,300
1641,650,274
1718,650,276
1568,638,298
1652,642,257
1676,698,288
1595,831,274
1697,962,263
1703,930,306
1567,489,252
1554,536,257
1645,629,279
1625,510,259
1560,654,285
1501,588,264
1617,650,286
1660,679,294
1635,719,284
1621,920,263
1596,618,268
1649,712,284
1590,643,283
1630,793,273
1505,575,266
1590,686,270
1613,688,272
1620,778,261
1687,765,296
1613,590,270
1648,626,268
1820,908,293
1613,500,250
1719,688,284
1543,567,252
1674,622,279
1662,707,286
1612,685,262
1605,571,234
1560,846,294
1664,618,249
1662,672,282
1620,692,260
1567,469,225
1689,674,257
1576,529,256
1596,644,270
1684,819,284
1702,683,271
1745,582,262
1599,532,271
1628,703,279
1651,807,290
1592,569,277
1587,504,262
1628,743,278
1627,648,256
1617,652,285
1582,548,256
1537,561,255
1629,663,274
1640,577,257
1675,790,280
1592,671,278
1633,691,299
1733,773,249
1610,622,243
1566,620,277
1639,691,283
1580,626,262
1557,587,252
1683,694,265
1597,647,285
1598,621,248
1613,698,274
1649,656,267
1672,602,251
1713,743,257
1641,744,290
1612,633,255
1596,621,258
1442,467,240
1555,639,282
1497,579,265
1612,708,268
1690,698,254
1634,654,260
1509,542,248
1582,593,243
1465,497,268
1545,526,253
1475,480,233
1633,557,291
1631,724,284
1626,661,276
1533,794,315
1553,572,245
1752,785,303
1618,676,264
1634,530,257
1689,777,275
1534,524,245
1629,601,267
1628,559,260
1603,530,239
1547,578,260
1585,644,274
1638,693,281
1754,849,288
1623,607,268
1614,623,271
1676,601,266
1560,516,232
1637,505,238
1542,532,249
1536,566,252
1613,732,268
1595,576,232
1659,807,271
1564,622,265
1686,726,270
1678,711,258
1573,572,251
1589,623,261
1621,602,275
1679,805,290
1598,561,242
1713,520,243
1550,578,244
1583,580,269
1540,612,240
1541,585,272
1622,875,285
1793,773,294
1713,755,268
1603,678,273
1711,888,303
1641,665,284
1494,580,258
1672,665,269
1616,649,273
1585,673,277
1612,744,285
1663,576,253
1656,735,277
1598,636,268
1545,432,247
1634,747,281
1704,669,270
1664,826,332
1522,578,247
1646,637,275
1557,758,294
1625,594,259
1671,872,289
1535,693,267
1591,500,248
1567,567,260
1540,589,263
1573,640,269
1637,683,281
1604,566,268
1740,632,235
1563,591,246
1773,760,265
1672,664,259
1564,658,286
1600,710,267
1586,551,242
1566,593,259
